freq,psd_x,psd_y,psd_z,psd_xyz
156.6,3.864e+03,6.490e+03,8.507e+02,1.120e+04
157.9,4.058e+03,7.636e+03,7.935e+02,1.249e+04
159.2,3.733e+03,8.423e+03,7.887e+02,1.294e+04
160.5,3.288e+03,9.475e+03,8.610e+02,1.362e+04
161.9,3.011e+03,9.933e+03,8.046e+02,1.375e+04
163.2,2.917e+03,8.928e+03,7.228e+02,1.257e+04
164.5,3.107e+03,1.098e+04,8.385e+02,1.493e+04
165.9,3.423e+03,9.059e+03,8.122e+02,1.329e+04
167.2,3.135e+03,7.921e+03,7.121e+02,1.177e+04
168.5,3.754e+03,8.197e+03,7.075e+02,1.266e+04
169.8,3.742e+03,6.792e+03,6.264e+02,1.116e+04
171.2,3.336e+03,6.847e+03,6.109e+02,1.079e+04
172.5,2.915e+03,7.918e+03,8.047e+02,1.164e+04
173.8,2.854e+03,8.032e+03,8.041e+02,1.169e+04
175.1,3.331e+03,7.850e+03,7.931e+02,1.197e+04
176.5,3.311e+03,8.676e+03,6.969e+02,1.268e+04
177.8,2.877e+03,9.652e+03,8.375e+02,1.337e+04
179.1,3.110e+03,9.835e+03,8.683e+02,1.381e+04
180.4,2.816e+03,1.006e+04,8.256e+02,1.370e+04
181.8,2.716e+03,1.225e+04,9.682e+02,1.594e+04
183.1,2.649e+03,1.151e+04,9.335e+02,1.509e+04
184.4,2.869e+03,1.283e+04,9.912e+02,1.669e+04
185.8,2.874e+03,1.392e+04,1.081e+03,1.787e+04
187.1,2.797e+03,1.359e+04,1.069e+03,1.745e+04
188.4,2.929e+03,1.387e+04,1.098e+03,1.790e+04
189.7,3.275e+03,1.847e+04,1.565e+03,2.331e+04
191.1,2.730e+03,1.876e+04,1.404e+03,2.290e+04
192.4,2.867e+03,2.249e+04,1.493e+03,2.685e+04
193.7,3.581e+03,2.737e+04,1.996e+03,3.294e+04
195.0,3.646e+03,2.447e+04,1.773e+03,2.988e+04
196.4,3.417e+03,2.125e+04,1.589e+03,2.626e+04
197.7,3.076e+03,1.781e+04,1.348e+03,2.224e+04
199.0,3.692e+03,2.779e+04,2.037e+03,3.352e+04
