freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.662e+01,3.894e+00,1.199e+01,1.125e+02
1.6,6.665e+01,1.657e+01,5.650e+01,1.397e+02
3.2,4.131e+01,1.823e+01,6.295e+01,1.225e+02
4.9,4.705e+02,1.820e+01,6.471e+01,5.534e+02
6.5,1.358e+03,2.083e+01,6.624e+01,1.445e+03
8.1,2.115e+03,2.114e+01,6.213e+01,2.199e+03
9.7,2.971e+03,1.974e+01,6.022e+01,3.051e+03
11.4,3.996e+03,1.866e+01,6.219e+01,4.077e+03
13.0,5.105e+03,1.810e+01,6.052e+01,5.183e+03
14.6,6.320e+03,1.838e+01,5.878e+01,6.397e+03
16.2,7.619e+03,1.948e+01,6.391e+01,7.702e+03
17.8,8.996e+03,1.989e+01,7.016e+01,9.086e+03
19.5,1.048e+04,1.914e+01,6.863e+01,1.056e+04
21.1,1.199e+04,1.869e+01,6.688e+01,1.208e+04
22.7,1.366e+04,1.925e+01,6.768e+01,1.375e+04
24.3,1.530e+04,2.864e+01,6.351e+01,1.539e+04
26.0,1.622e+04,4.054e+01,7.040e+01,1.634e+04
27.6,1.691e+04,3.735e+01,6.809e+01,1.701e+04
29.2,1.784e+04,2.644e+01,6.539e+01,1.793e+04
30.8,1.900e+04,2.253e+01,7.361e+01,1.910e+04
32.4,2.036e+04,2.252e+01,8.606e+01,2.047e+04
34.1,2.191e+04,2.128e+01,8.649e+01,2.202e+04
35.7,2.317e+04,2.377e+01,8.974e+01,2.329e+04
37.3,2.470e+04,2.478e+01,1.011e+02,2.482e+04
38.9,2.594e+04,2.864e+01,1.116e+02,2.608e+04
40.6,2.690e+04,3.322e+01,1.197e+02,2.706e+04
42.2,2.857e+04,3.060e+01,1.245e+02,2.873e+04
43.8,2.906e+04,3.053e+01,1.332e+02,2.922e+04
45.4,2.992e+04,3.009e+01,1.324e+02,3.009e+04
47.0,3.189e+04,3.456e+01,1.462e+02,3.207e+04
48.7,3.314e+04,3.999e+01,1.631e+02,3.334e+04
50.3,3.309e+04,4.193e+01,1.501e+02,3.328e+04
51.9,3.467e+04,4.174e+01,1.541e+02,3.486e+04
53.5,3.691e+04,4.335e+01,1.733e+02,3.713e+04
55.2,3.863e+04,4.605e+01,1.844e+02,3.886e+04
56.8,3.884e+04,4.704e+01,1.950e+02,3.909e+04
58.4,3.837e+04,4.651e+01,2.141e+02,3.864e+04
60.0,4.043e+04,4.929e+01,2.384e+02,4.072e+04
61.6,4.296e+04,5.653e+01,2.011e+02,4.322e+04
63.3,4.549e+04,6.300e+01,1.668e+02,4.572e+04
64.9,4.761e+04,6.337e+01,1.559e+02,4.783e+04
66.5,4.802e+04,7.128e+01,1.402e+02,4.823e+04
68.1,4.644e+04,7.259e+01,1.346e+02,4.664e+04
69.8,4.762e+04,8.221e+01,1.312e+02,4.784e+04
71.4,5.064e+04,8.653e+01,1.447e+02,5.087e+04
73.0,5.377e+04,9.690e+01,1.521e+02,5.402e+04
74.6,5.698e+04,1.233e+02,1.570e+02,5.726e+04
76.2,6.077e+04,1.375e+02,1.900e+02,6.110e+04
77.9,6.468e+04,1.613e+02,2.507e+02,6.509e+04
79.5,6.351e+04,1.804e+02,3.542e+02,6.404e+04
81.1,5.521e+04,1.621e+02,4.387e+02,5.581e+04
82.7,4.912e+04,1.590e+02,5.923e+02,4.987e+04
84.4,5.011e+04,1.726e+02,7.789e+02,5.107e+04
86.0,5.361e+04,1.808e+02,8.204e+02,5.461e+04
87.6,5.710e+04,1.893e+02,8.767e+02,5.816e+04
89.2,6.025e+04,2.562e+02,1.423e+03,6.193e+04
90.8,6.333e+04,3.032e+02,1.929e+03,6.556e+04
92.5,6.640e+04,3.334e+02,2.337e+03,6.907e+04
94.1,7.003e+04,3.588e+02,2.552e+03,7.294e+04
95.7,7.369e+04,3.820e+02,2.638e+03,7.671e+04
97.3,7.621e+04,4.013e+02,2.871e+03,7.948e+04
99.0,7.779e+04,3.693e+02,2.945e+03,8.110e+04
100.6,7.898e+04,3.328e+02,2.783e+03,8.210e+04
102.2,8.052e+04,2.903e+02,2.517e+03,8.333e+04
103.8,7.937e+04,2.667e+02,2.184e+03,8.182e+04
105.4,7.422e+04,2.959e+02,1.840e+03,7.635e+04
107.1,7.562e+04,3.201e+02,1.711e+03,7.765e+04
108.7,7.889e+04,3.570e+02,1.844e+03,8.109e+04
110.3,8.025e+04,4.319e+02,2.111e+03,8.279e+04
111.9,8.195e+04,5.490e+02,2.775e+03,8.528e+04
113.6,8.385e+04,6.858e+02,3.694e+03,8.823e+04
115.2,8.690e+04,7.674e+02,4.426e+03,9.209e+04
116.8,9.138e+04,7.183e+02,4.597e+03,9.669e+04
118.4,9.616e+04,6.300e+02,4.390e+03,1.012e+05
120.0,1.019e+05,4.926e+02,3.730e+03,1.061e+05
121.7,1.064e+05,3.930e+02,3.360e+03,1.102e+05
123.3,1.054e+05,3.394e+02,3.101e+03,1.089e+05
124.9,1.038e+05,3.258e+02,2.805e+03,1.069e+05
126.5,1.050e+05,3.234e+02,2.507e+03,1.079e+05
128.2,1.097e+05,3.195e+02,2.191e+03,1.122e+05
129.8,1.145e+05,3.083e+02,2.187e+03,1.170e+05
131.4,1.138e+05,3.109e+02,2.120e+03,1.162e+05
133.0,6.286e+04,2.178e+02,1.318e+03,6.440e+04
134.6,6.611e+03,1.024e+02,3.523e+02,7.066e+03
136.3,1.590e+03,1.127e+02,2.853e+02,1.988e+03
137.9,1.348e+03,1.090e+02,2.815e+02,1.739e+03
139.5,1.221e+03,1.047e+02,2.673e+02,1.593e+03
141.1,1.171e+03,1.094e+02,2.802e+02,1.561e+03
142.8,1.232e+03,1.277e+02,3.516e+02,1.711e+03
144.4,1.297e+03,1.323e+02,3.596e+02,1.789e+03
146.0,1.387e+03,1.210e+02,3.445e+02,1.853e+03
147.6,1.707e+03,1.215e+02,3.661e+02,2.194e+03
149.2,2.270e+03,1.295e+02,3.988e+02,2.798e+03
150.9,2.668e+03,1.408e+02,3.949e+02,3.203e+03
152.5,2.392e+03,1.221e+02,3.786e+02,2.893e+03
154.1,2.191e+03,1.180e+02,3.833e+02,2.693e+03
155.7,2.073e+03,1.267e+02,3.742e+02,2.574e+03
157.4,1.972e+03,1.389e+02,4.031e+02,2.514e+03
159.0,1.880e+03,1.602e+02,5.005e+02,2.541e+03
160.6,1.765e+03,1.826e+02,5.514e+02,2.499e+03
162.2,1.589e+03,1.801e+02,5.152e+02,2.285e+03
163.8,1.567e+03,1.927e+02,6.839e+02,2.443e+03
165.5,1.686e+03,2.643e+02,1.284e+03,3.234e+03
167.1,1.793e+03,3.189e+02,1.913e+03,4.025e+03
168.7,1.960e+03,3.431e+02,2.365e+03,4.668e+03
170.3,2.556e+03,3.631e+02,2.324e+03,5.243e+03
172.0,4.052e+03,4.846e+02,2.635e+03,7.172e+03
173.6,5.310e+03,5.634e+02,2.851e+03,8.725e+03
175.2,5.263e+03,5.293e+02,2.399e+03,8.192e+03
176.8,5.105e+03,6.448e+02,3.292e+03,9.042e+03
178.4,4.935e+03,8.421e+02,5.145e+03,1.092e+04
