freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.971e+01,4.103e+02,3.863e+02,8.163e+02
1.6,2.635e+01,2.420e+02,2.589e+02,5.272e+02
3.2,1.949e+01,4.158e+01,6.378e+01,1.248e+02
4.9,2.020e+01,4.715e+02,5.886e+01,5.505e+02
6.5,1.973e+01,1.419e+03,6.263e+01,1.502e+03
8.1,2.217e+01,2.286e+03,6.646e+01,2.374e+03
9.7,2.656e+01,3.319e+03,7.775e+01,3.424e+03
11.3,2.947e+01,4.579e+03,8.491e+01,4.693e+03
13.0,4.065e+01,6.102e+03,1.043e+02,6.247e+03
14.6,6.376e+01,8.185e+03,1.596e+02,8.408e+03
16.2,1.635e+02,1.127e+04,3.635e+02,1.180e+04
17.8,5.405e+02,1.373e+04,1.088e+03,1.536e+04
19.4,6.029e+02,1.207e+04,8.551e+02,1.353e+04
21.1,1.204e+03,1.382e+04,2.318e+02,1.525e+04
22.7,1.968e+03,1.449e+04,2.296e+02,1.669e+04
24.3,2.402e+03,1.754e+04,3.622e+02,2.030e+04
25.9,3.522e+03,2.308e+04,8.012e+02,2.740e+04
27.5,6.043e+03,2.763e+04,1.720e+03,3.539e+04
29.2,7.614e+03,2.341e+04,2.288e+03,3.331e+04
30.8,5.269e+03,1.599e+04,1.431e+03,2.269e+04
32.4,2.719e+03,1.554e+04,5.034e+02,1.876e+04
34.0,1.511e+03,1.815e+04,2.639e+02,1.993e+04
35.6,9.519e+02,2.388e+04,9.818e+02,2.581e+04
37.3,1.319e+03,2.378e+04,2.235e+03,2.734e+04
38.9,1.626e+03,1.802e+04,2.096e+03,2.174e+04
40.5,1.488e+03,1.674e+04,2.009e+03,2.023e+04
42.1,1.358e+03,1.856e+04,2.856e+03,2.278e+04
43.7,1.216e+03,2.077e+04,4.813e+03,2.680e+04
45.4,1.042e+03,2.312e+04,8.476e+03,3.264e+04
47.0,1.011e+03,2.656e+04,1.586e+04,4.343e+04
48.6,1.095e+03,2.921e+04,2.871e+04,5.902e+04
50.2,9.919e+02,3.061e+04,4.246e+04,7.406e+04
51.9,7.413e+02,3.383e+04,8.169e+04,1.163e+05
53.5,4.260e+02,5.159e+04,2.362e+05,2.882e+05
55.1,2.887e+02,8.009e+04,4.015e+05,4.818e+05
56.7,3.204e+02,9.017e+04,4.264e+05,5.168e+05
58.3,3.195e+02,9.486e+04,4.161e+05,5.113e+05
60.0,3.138e+02,1.045e+05,4.077e+05,5.125e+05
61.6,2.990e+02,1.166e+05,3.946e+05,5.115e+05
63.2,3.416e+02,1.290e+05,3.768e+05,5.061e+05
64.8,4.409e+02,1.415e+05,3.612e+05,5.032e+05
66.4,5.332e+02,1.520e+05,3.439e+05,4.965e+05
68.1,5.314e+02,1.585e+05,3.194e+05,4.785e+05
69.7,5.730e+02,1.789e+05,3.156e+05,4.950e+05
71.3,8.132e+02,2.117e+05,3.324e+05,5.449e+05
72.9,1.768e+03,2.491e+05,3.594e+05,6.103e+05
74.5,4.707e+03,2.959e+05,3.981e+05,6.987e+05
76.2,1.167e+04,3.598e+05,4.521e+05,8.235e+05
77.8,2.291e+04,4.332e+05,5.186e+05,9.747e+05
79.4,2.660e+04,4.997e+05,5.849e+05,1.111e+06
81.0,2.228e+04,5.753e+05,6.476e+05,1.245e+06
82.6,1.852e+04,6.547e+05,7.000e+05,1.373e+06
84.3,2.046e+04,8.645e+05,8.572e+05,1.742e+06
85.9,2.947e+04,1.304e+06,1.168e+06,2.501e+06
87.5,4.743e+04,1.920e+06,1.552e+06,3.520e+06
89.1,6.711e+04,2.455e+06,1.846e+06,4.368e+06
90.7,7.816e+04,2.684e+06,1.947e+06,4.709e+06
92.4,8.178e+04,2.616e+06,1.869e+06,4.567e+06
94.0,7.792e+04,2.356e+06,1.667e+06,4.101e+06
95.6,6.761e+04,2.038e+06,1.423e+06,3.529e+06
97.2,5.714e+04,1.740e+06,1.202e+06,2.999e+06
98.8,4.300e+04,1.447e+06,9.883e+05,2.478e+06
100.5,3.429e+04,1.206e+06,8.183e+05,2.058e+06
102.1,2.433e+04,9.946e+05,6.669e+05,1.686e+06
103.7,1.323e+04,7.981e+05,5.232e+05,1.335e+06
105.3,5.945e+03,6.060e+05,3.932e+05,1.005e+06
106.9,3.836e+03,4.930e+05,3.263e+05,8.231e+05
108.6,5.528e+03,4.106e+05,2.847e+05,7.008e+05
110.2,6.944e+03,3.397e+05,2.410e+05,5.877e+05
111.8,7.083e+03,2.786e+05,1.988e+05,4.845e+05
113.4,7.156e+03,2.243e+05,1.589e+05,3.904e+05
115.0,7.552e+03,1.789e+05,1.261e+05,3.126e+05
116.7,9.936e+03,1.456e+05,1.020e+05,2.576e+05
118.3,1.694e+04,1.206e+05,8.365e+04,2.212e+05
119.9,2.819e+04,1.095e+05,7.518e+04,2.129e+05
121.5,3.448e+04,1.215e+05,7.991e+04,2.359e+05
123.1,2.954e+04,1.399e+05,8.666e+04,2.561e+05
124.8,2.574e+04,1.491e+05,8.865e+04,2.635e+05
126.4,2.754e+04,1.555e+05,9.033e+04,2.734e+05
128.0,3.101e+04,1.598e+05,9.076e+04,2.816e+05
129.6,3.196e+04,1.607e+05,8.948e+04,2.822e+05
131.2,3.166e+04,1.555e+05,8.537e+04,2.725e+05
132.9,1.686e+04,8.170e+04,4.463e+04,1.432e+05
134.5,1.990e+03,8.293e+03,5.130e+03,1.541e+04
136.1,6.588e+02,1.865e+03,1.544e+03,4.067e+03
137.7,4.738e+02,1.446e+03,1.264e+03,3.184e+03
139.3,3.907e+02,1.100e+03,1.044e+03,2.535e+03
141.0,3.854e+02,9.059e+02,9.608e+02,2.252e+03
142.6,3.984e+02,7.539e+02,8.711e+02,2.023e+03
144.2,4.470e+02,6.531e+02,7.966e+02,1.897e+03
145.8,6.344e+02,6.014e+02,7.482e+02,1.984e+03
147.4,8.354e+02,6.793e+02,7.489e+02,2.264e+03
149.1,9.506e+02,9.935e+02,9.262e+02,2.870e+03
150.7,8.628e+02,1.184e+03,1.039e+03,3.086e+03
152.3,7.402e+02,1.029e+03,9.527e+02,2.722e+03
153.9,7.553e+02,8.398e+02,9.313e+02,2.526e+03
155.6,1.134e+03,6.987e+02,9.713e+02,2.804e+03
157.2,2.201e+03,5.638e+02,9.218e+02,3.687e+03
158.8,2.996e+03,4.640e+02,7.543e+02,4.214e+03
160.4,3.634e+03,4.129e+02,6.253e+02,4.672e+03
162.0,4.138e+03,3.290e+02,4.996e+02,4.966e+03
163.7,3.963e+03,2.885e+02,3.860e+02,4.638e+03
165.3,2.882e+03,2.438e+02,2.982e+02,3.424e+03
166.9,2.532e+03,2.143e+02,2.609e+02,3.007e+03
168.5,2.439e+03,2.009e+02,2.454e+02,2.885e+03
170.1,2.510e+03,2.257e+02,2.384e+02,2.974e+03
171.8,3.206e+03,3.233e+02,2.987e+02,3.828e+03
173.4,4.596e+03,4.209e+02,3.854e+02,5.402e+03
175.0,5.870e+03,4.415e+02,4.306e+02,6.742e+03
176.6,7.246e+03,4.837e+02,4.263e+02,8.156e+03
178.2,8.647e+03,4.945e+02,3.135e+02,9.455e+03
179.9,9.592e+03,4.806e+02,2.253e+02,1.030e+04
181.5,1.039e+04,4.752e+02,1.967e+02,1.106e+04
183.1,1.091e+04,3.921e+02,2.284e+02,1.153e+04
184.7,1.111e+04,2.805e+02,2.997e+02,1.169e+04
186.3,1.061e+04,2.263e+02,3.970e+02,1.123e+04
188.0,9.596e+03,1.974e+02,4.784e+02,1.027e+04
189.6,8.453e+03,1.820e+02,4.786e+02,9.114e+03
191.2,7.366e+03,1.755e+02,3.950e+02,7.937e+03
192.8,6.414e+03,1.733e+02,3.208e+02,6.908e+03
194.4,5.756e+03,1.784e+02,3.000e+02,6.235e+03
196.1,6.093e+03,1.883e+02,4.053e+02,6.686e+03
197.7,7.498e+03,4.049e+02,8.159e+02,8.719e+03
199.3,3.611e+03,4.625e+02,6.076e+02,4.681e+03
