freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.148e+02,4.638e+00,1.406e+01,2.335e+02
1.6,1.399e+02,1.570e+01,5.686e+01,2.125e+02
3.2,4.455e+01,1.758e+01,5.642e+01,1.186e+02
4.9,4.715e+02,1.979e+01,5.812e+01,5.494e+02
6.5,1.382e+03,2.053e+01,5.436e+01,1.456e+03
8.1,2.183e+03,2.058e+01,5.754e+01,2.262e+03
9.7,3.119e+03,1.940e+01,5.926e+01,3.198e+03
11.3,4.245e+03,2.003e+01,5.787e+01,4.323e+03
13.0,5.620e+03,2.222e+01,5.941e+01,5.702e+03
14.6,7.269e+03,2.404e+01,6.188e+01,7.355e+03
16.2,9.458e+03,4.539e+01,7.752e+01,9.581e+03
17.8,1.193e+04,1.972e+02,1.814e+02,1.231e+04
19.4,1.426e+04,3.102e+02,2.248e+02,1.479e+04
21.1,1.414e+04,6.271e+02,1.422e+02,1.491e+04
22.7,1.164e+04,1.056e+03,2.006e+02,1.290e+04
24.3,1.331e+04,1.233e+03,2.521e+02,1.480e+04
25.9,1.711e+04,1.540e+03,3.494e+02,1.900e+04
27.5,2.039e+04,2.111e+03,5.181e+02,2.301e+04
29.2,1.873e+04,2.129e+03,6.881e+02,2.155e+04
30.8,1.397e+04,1.118e+03,5.388e+02,1.563e+04
32.4,1.344e+04,3.770e+02,2.988e+02,1.412e+04
34.0,1.563e+04,1.438e+02,1.628e+02,1.593e+04
35.6,1.806e+04,9.123e+01,1.238e+02,1.827e+04
37.3,2.069e+04,1.301e+02,9.647e+01,2.092e+04
38.9,2.353e+04,2.630e+02,1.147e+02,2.391e+04
40.5,2.524e+04,2.671e+02,1.977e+02,2.570e+04
42.1,2.677e+04,1.492e+02,2.085e+02,2.713e+04
43.7,2.789e+04,9.569e+01,1.660e+02,2.815e+04
45.4,3.007e+04,7.296e+01,1.329e+02,3.028e+04
47.0,3.340e+04,7.297e+01,1.080e+02,3.358e+04
48.6,3.622e+04,8.233e+01,1.272e+02,3.643e+04
50.2,3.852e+04,9.293e+01,1.848e+02,3.880e+04
51.8,4.245e+04,1.166e+02,2.512e+02,4.281e+04
53.5,4.719e+04,1.505e+02,3.535e+02,4.769e+04
55.1,5.199e+04,1.780e+02,6.629e+02,5.283e+04
56.7,5.554e+04,1.744e+02,1.636e+03,5.735e+04
58.3,5.960e+04,1.422e+02,6.117e+03,6.586e+04
59.9,7.206e+04,1.575e+02,1.391e+04,8.612e+04
61.6,8.309e+04,3.945e+02,1.210e+04,9.559e+04
63.2,9.615e+04,5.957e+02,1.023e+04,1.070e+05
64.8,1.125e+05,5.111e+02,9.200e+03,1.222e+05
