freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.465e+01,2.167e+02,2.450e+01,2.658e+02
1.6,7.241e+01,1.405e+02,6.062e+01,2.735e+02
3.2,3.348e+01,4.808e+01,6.915e+01,1.507e+02
4.9,6.353e+01,4.654e+02,6.570e+01,5.946e+02
6.5,6.167e+01,1.371e+03,6.155e+01,1.494e+03
8.1,7.845e+01,2.183e+03,6.544e+01,2.326e+03
9.7,7.579e+01,3.140e+03,6.769e+01,3.284e+03
11.4,6.968e+01,4.277e+03,6.481e+01,4.412e+03
13.0,6.732e+01,5.631e+03,6.580e+01,5.764e+03
14.6,8.188e+01,7.177e+03,6.558e+01,7.324e+03
16.2,8.978e+01,9.019e+03,6.727e+01,9.176e+03
17.8,8.128e+01,1.123e+04,7.140e+01,1.138e+04
19.5,8.315e+01,1.319e+04,8.203e+01,1.336e+04
21.1,8.504e+01,1.556e+04,7.295e+01,1.572e+04
22.7,1.076e+02,1.931e+04,7.580e+01,1.949e+04
24.3,3.116e+02,2.094e+04,1.159e+02,2.137e+04
26.0,7.078e+02,1.918e+04,1.478e+02,2.003e+04
27.6,9.247e+02,1.764e+04,1.459e+02,1.871e+04
29.2,7.488e+02,1.634e+04,1.444e+02,1.724e+04
30.8,3.924e+02,1.708e+04,1.361e+02,1.761e+04
32.4,1.989e+02,1.960e+04,1.267e+02,1.992e+04
34.1,1.320e+02,2.266e+04,1.297e+02,2.293e+04
35.7,1.241e+02,2.591e+04,1.346e+02,2.617e+04
37.3,1.134e+02,3.046e+04,1.599e+02,3.073e+04
38.9,9.075e+01,3.196e+04,1.433e+02,3.219e+04
40.6,7.568e+01,2.986e+04,9.096e+01,3.003e+04
42.2,7.979e+01,3.028e+04,8.702e+01,3.045e+04
43.8,8.562e+01,3.108e+04,8.681e+01,3.125e+04
45.4,8.276e+01,3.261e+04,9.302e+01,3.279e+04
47.0,8.450e+01,3.561e+04,1.218e+02,3.581e+04
48.7,9.104e+01,3.797e+04,1.585e+02,3.822e+04
50.3,1.025e+02,3.916e+04,1.595e+02,3.942e+04
51.9,1.073e+02,4.124e+04,1.494e+02,4.150e+04
53.5,1.057e+02,4.376e+04,1.320e+02,4.399e+04
55.2,1.127e+02,4.549e+04,1.222e+02,4.573e+04
56.8,1.084e+02,4.620e+04,1.349e+02,4.644e+04
58.4,1.082e+02,4.750e+04,1.622e+02,4.777e+04
60.0,1.264e+02,5.106e+04,1.882e+02,5.138e+04
61.6,1.427e+02,5.540e+04,2.158e+02,5.576e+04
63.3,1.549e+02,5.954e+04,2.425e+02,5.994e+04
64.9,1.560e+02,6.310e+04,2.585e+02,6.351e+04
66.5,1.641e+02,6.577e+04,2.630e+02,6.619e+04
68.1,1.622e+02,6.634e+04,3.087e+02,6.681e+04
69.8,1.541e+02,7.026e+04,3.383e+02,7.075e+04
71.4,1.617e+02,7.599e+04,3.662e+02,7.652e+04
73.0,1.700e+02,8.197e+04,3.973e+02,8.254e+04
